,Unnamed: 0.1,Duration,Checking account,Credit amount,Purpose,Job,Sex,data_source,Saving accounts,Housing,Risk,Age,value,Unnamed: 0
0,0,24,little,3632,car,2.0,female,kaggle,little,rent,good,22,391779.0,613
1,1,24,,2603,car,2.0,female,kaggle,rich,rent,good,28,391779.0,733
2,2,12,little,902,education,2.0,male,kaggle,little,rent,bad,21,391779.0,203
3,3,9,little,654,car,1.0,male,kaggle,little,own,bad,28,391779.0,472
4,4,21,little,3414,education,2.0,male,kaggle,little,own,bad,26,391779.0,174
5,5,15,,3186,car,2.0,female,kaggle,rich,rent,good,20,391779.0,420
6,6,12,,1262,radio/TV,2.0,male,kaggle,little,own,good,25,391779.0,52
7,7,21,little,1835,radio/TV,2.0,female,kaggle,little,own,bad,25,391779.0,120
8,8,15,,1520,furniture/equipment,2.0,male,kaggle,,own,good,63,391779.0,283
9,9,18,moderate,6204,repairs,1.0,male,kaggle,little,own,good,44,391779.0,42
10,10,18,moderate,2899,car,2.0,male,kaggle,,own,good,43,391779.0,404
11,11,24,,8648,business,2.0,male,kaggle,little,own,bad,27,391779.0,402
12,12,15,,3029,car,2.0,male,kaggle,little,own,good,33,391779.0,749
13,13,30,little,8072,business,2.0,male,kaggle,,own,good,25,391779.0,17
14,14,28,,7824,car,2.0,male,kaggle,,rent,good,40,391779.0,889
15,15,24,,4042,car,2.0,male,kaggle,,own,good,43,391779.0,851
16,16,72,moderate,5595,radio/TV,2.0,male,kaggle,moderate,own,bad,24,391779.0,677
17,17,9,,2697,radio/TV,2.0,male,kaggle,little,own,good,32,391779.0,275
18,18,9,,1236,domestic appliances,2.0,female,kaggle,little,rent,good,23,391779.0,350
19,19,18,moderate,1239,education,2.0,male,kaggle,,free,good,61,391779.0,360
20,20,18,moderate,1239,education,2.0,male,kaggle,,free,good,61,391779.0,360
21,21,12,moderate,6468,radio/TV,3.0,male,kaggle,,own,bad,52,391779.0,56
22,22,24,moderate,4712,business,3.0,male,kaggle,,own,good,37,391779.0,564
23,23,24,moderate,4113,car,2.0,female,kaggle,quite rich,rent,bad,28,391779.0,952
24,24,21,moderate,1188,business,2.0,female,kaggle,little,own,bad,39,391779.0,790
25,25,12,little,3386,car,2.0,male,kaggle,little,free,bad,35,391779.0,457
26,26,36,,3079,car,2.0,male,kaggle,,own,good,36,391779.0,370
27,27,12,moderate,1103,radio/TV,2.0,male,kaggle,little,own,good,29,391779.0,696
28,28,10,rich,1225,domestic appliances,2.0,male,kaggle,little,own,good,37,391779.0,38
29,29,24,,1474,car,2.0,male,kaggle,moderate,own,good,33,391779.0,855
30,30,12,,3059,radio/TV,1.0,male,kaggle,rich,own,good,61,391779.0,8
31,31,24,little,1282,radio/TV,1.0,female,kaggle,moderate,own,bad,32,391779.0,15
32,32,48,little,4788,car,2.0,male,kaggle,little,own,good,26,391779.0,286
33,33,,,,,,,kaggle,,,,,391779.0,
34,34,9,,1388,furniture/equipment,2.0,female,kaggle,little,rent,good,26,391779.0,582
35,35,18,little,1882,radio/TV,2.0,female,kaggle,little,rent,bad,25,391779.0,727
36,36,21,,1591,furniture/equipment,3.0,male,kaggle,moderate,own,good,34,391779.0,423
37,37,12,rich,2251,furniture/equipment,1.0,female,kaggle,little,own,good,46,391779.0,251
38,38,30,,7596,car,2.0,male,kaggle,,own,good,63,391779.0,715
39,39,18,little,2039,furniture/equipment,2.0,female,kaggle,little,rent,bad,20,391779.0,585
40,40,10,,2069,furniture/equipment,2.0,male,kaggle,,own,good,26,391779.0,24
41,41,27,,,repairs,,,kaggle,,,good,,391779.0,
42,42,12,,2012,education,2.0,female,kaggle,,own,good,61,391779.0,96
43,43,15,,874,domestic appliances,2.0,female,kaggle,,own,good,24,391779.0,873
44,44,12,moderate,2969,furniture/equipment,2.0,female,kaggle,little,rent,bad,25,391779.0,707
45,45,9,rich,1126,radio/TV,2.0,,kaggle,,own,good,49,391779.0,502
46,46,36,rich,4210,radio/TV,2.0,male,kaggle,little,own,bad,26,391779.0,230
47,47,4,,601,furniture/equipment,1.0,female,kaggle,little,rent,good,23,391779.0,837
48,48,,,,,1.0,male,kaggle,moderate,own,,39,391779.0,478
49,49,36,little,5493,car,2.0,male,kaggle,little,free,good,42,391779.0,501
50,50,24,,2463,car,2.0,male,kaggle,moderate,own,good,27,391779.0,764
51,51,24,,2611,radio/TV,2.0,male,kaggle,little,own,good,46,391779.0,839
52,52,6,moderate,2063,radio/TV,3.0,male,kaggle,little,rent,good,30,391779.0,937
53,53,60,moderate,14782,vacation/others,3.0,female,kaggle,moderate,free,bad,60,391779.0,374
54,54,12,little,1228,car,1.0,female,kaggle,little,own,bad,24,391779.0,722
55,55,18,moderate,2779,car,2.0,male,kaggle,little,rent,good,21,391779.0,425
56,56,72,moderate,5595,radio/TV,2.0,male,kaggle,moderate,own,bad,24,391779.0,677
57,57,10,,1287,car,1.0,male,kaggle,,own,good,45,391779.0,297
58,58,36,rich,4473,radio/TV,2.0,male,kaggle,little,own,good,31,391779.0,328
59,59,20,moderate,,car,3.0,male,kaggle,,rent,good,36,391779.0,99
60,60,15,rich,2327,radio/TV,1.0,female,kaggle,little,own,bad,25,391779.0,834
61,61,6,moderate,1449,business,2.0,male,kaggle,moderate,own,good,31,391779.0,110
62,62,6,little,662,car,1.0,male,kaggle,little,own,good,41,391779.0,529
63,63,15,,1300,car,2.0,male,kaggle,,,good,45,391779.0,609
64,64,18,little,,radio/TV,3.0,male,kaggle,little,own,good,32,391779.0,644
65,65,18,,1505,radio/TV,3.0,male,kaggle,little,free,good,32,391779.0,717
66,66,15,,1360,radio/TV,2.0,male,kaggle,little,own,good,31,391779.0,185
67,67,18,little,1216,car,2.0,female,kaggle,little,rent,bad,23,391779.0,831
68,68,12,moderate,1223,car,2.0,male,kaggle,little,rent,bad,46,391779.0,398
69,69,36,moderate,7432,car,2.0,female,kaggle,little,rent,good,54,391779.0,815
70,70,36,,7678,furniture/equipment,2.0,female,kaggle,quite rich,own,good,40,391779.0,870
71,71,36,,4686,car,3.0,male,kaggle,little,free,good,32,391779.0,511
72,72,12,,,furniture/equipment,,,kaggle,,,good,34,391779.0,452
73,73,24,,5507,repairs,2.0,male,kaggle,little,free,good,44,391779.0,520
74,74,4,,601,furniture/equipment,1.0,female,kaggle,little,rent,good,23,391779.0,837
75,75,42,,4042,,2.0,male,kaggle,quite rich,own,good,36,391779.0,628
76,76,24,,1287,car,2.0,female,kaggle,rich,own,good,37,391779.0,437
77,77,,,,,,,kaggle,,,bad,33,391779.0,416
78,78,45,little,1845,radio/TV,2.0,male,kaggle,little,free,bad,23,391779.0,998
79,79,36,little,2746,furniture/equipment,2.0,male,kaggle,little,own,bad,31,391779.0,315
80,80,6,,1221,furniture/equipment,2.0,male,kaggle,,own,good,27,391779.0,792
81,81,12,moderate,,car,2.0,male,kaggle,,own,good,44,391779.0,23
82,82,6,moderate,1050,furniture/equipment,3.0,male,kaggle,little,,good,35,391779.0,663
83,83,24,rich,1377,radio/TV,2.0,female,kaggle,moderate,free,good,47,391779.0,702
84,84,12,little,709,radio/TV,1.0,male,kaggle,little,own,bad,57,391779.0,849
85,85,20,,3485,car,2.0,male,kaggle,,own,good,44,391779.0,901
86,86,36,,909,car,2.0,male,kaggle,quite rich,own,good,36,391779.0,164
87,87,10,,1597,car,1.0,male,kaggle,quite rich,,good,40,391779.0,413
88,88,,,,,,,kaggle,,,bad,27,391779.0,558
89,89,21,,2580,business,1.0,male,kaggle,quite rich,own,bad,41,391779.0,674
90,90,24,,5511,furniture/equipment,2.0,male,kaggle,moderate,own,good,25,391779.0,311
91,91,9,moderate,959,furniture/equipment,2.0,female,kaggle,little,own,bad,29,391779.0,351
92,92,12,little,626,radio/TV,1.0,female,kaggle,little,own,bad,24,391779.0,548
93,93,30,,4811,car,1.0,female,kaggle,,rent,good,24,391779.0,306
94,94,48,moderate,7582,vacation/others,3.0,male,kaggle,moderate,free,good,31,391779.0,287
95,95,10,,1231,car,1.0,male,kaggle,little,own,good,32,391779.0,264
96,96,12,moderate,1410,education,1.0,male,kaggle,little,own,good,31,391779.0,782
97,97,45,little,11816,business,2.0,male,kaggle,little,rent,bad,29,391779.0,832
98,98,9,moderate,1670,radio/TV,2.0,female,kaggle,little,own,bad,22,391779.0,931
99,99,6,little,3676,car,2.0,male,kaggle,little,rent,good,37,391779.0,617
100,100,36,,10477,car,2.0,male,kaggle,,free,good,42,391779.0,902
101,101,18,,6761,car,2.0,male,kaggle,,rent,bad,68,391779.0,846
102,102,12,,701,education,2.0,male,kaggle,little,own,good,32,391779.0,318
103,103,36,little,15857,vacation/others,3.0,male,kaggle,little,own,good,43,391779.0,818
