Risk,Age,age_group
good,22,22-31
good,28,22-31
bad,28,22-31
bad,26,22-31
good,25,22-31
bad,25,22-31
good,63,62-71
good,44,42-51
good,43,42-51
bad,27,22-31
good,33,32-41
good,25,22-31
good,40,32-41
good,43,42-51
bad,24,22-31
good,32,32-41
good,23,22-31
good,61,52-61
good,61,52-61
bad,52,52-61
good,37,32-41
bad,28,22-31
bad,39,32-41
bad,35,32-41
good,36,32-41
good,29,22-31
good,37,32-41
good,33,32-41
good,61,52-61
bad,32,32-41
good,26,22-31
good,26,22-31
bad,25,22-31
good,34,32-41
good,46,42-51
good,63,62-71
good,26,22-31
good,61,52-61
good,24,22-31
bad,25,22-31
good,49,42-51
bad,26,22-31
good,23,22-31
good,42,42-51
good,27,22-31
good,46,42-51
good,30,22-31
bad,60,52-61
bad,24,22-31
bad,24,22-31
good,45,42-51
good,31,22-31
good,36,32-41
bad,25,22-31
good,31,22-31
good,41,32-41
good,45,42-51
good,32,32-41
good,32,32-41
good,31,22-31
bad,23,22-31
bad,46,42-51
good,54,52-61
good,40,32-41
good,32,32-41
good,34,32-41
good,44,42-51
good,23,22-31
good,36,32-41
good,37,32-41
bad,33,32-41
bad,23,22-31
bad,31,22-31
good,27,22-31
good,44,42-51
good,35,32-41
good,47,42-51
bad,57,52-61
good,44,42-51
good,36,32-41
good,40,32-41
bad,27,22-31
bad,41,32-41
good,25,22-31
bad,29,22-31
bad,24,22-31
good,24,22-31
good,31,22-31
good,32,32-41
good,31,22-31
bad,29,22-31
bad,22,22-31
good,37,32-41
good,42,42-51
bad,68,62-71
good,32,32-41
good,43,42-51
good,25,22-31
good,26,22-31
bad,60,52-61
bad,68,62-71
good,23,22-31
bad,25,22-31
bad,24,22-31
good,27,22-31
bad,34,32-41
good,36,32-41
good,40,32-41
good,25,22-31
good,28,22-31
good,51,42-51
good,31,22-31
bad,39,32-41
good,31,22-31
good,57,52-61
good,56,52-61
bad,55,52-61
good,23,22-31
good,34,32-41
bad,31,22-31
bad,31,22-31
good,61,52-61
good,38,32-41
bad,44,42-51
good,46,42-51
bad,39,32-41
bad,55,52-61
good,41,32-41
good,53,52-61
good,42,42-51
good,30,22-31
good,64,62-71
good,47,42-51
bad,32,32-41
good,28,22-31
good,26,22-31
good,54,52-61
good,35,32-41
good,42,42-51
good,35,32-41
good,34,32-41
bad,41,32-41
good,41,32-41
bad,34,32-41
bad,47,42-51
good,35,32-41
bad,46,42-51
good,46,42-51
bad,33,32-41
good,45,42-51
bad,31,22-31
bad,34,32-41
good,22,22-31
good,39,32-41
bad,43,42-51
good,25,22-31
good,35,32-41
